date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2020/02/05,2020,2,5,chokepoint1,Suez Canal,19,16,3,1,17,39,56,1140238,444262,3077,2857,854561,1590436,2444998,1
2020/02/06,2020,2,6,chokepoint1,Suez Canal,20,11,4,0,12,35,47,1385905,397748,44845,0,438755,1828499,2267255,2
2020/02/07,2020,2,7,chokepoint1,Suez Canal,22,9,4,1,16,36,52,1071400,237845,32690,5057,849136,1346993,2196129,3
2020/02/08,2020,2,8,chokepoint1,Suez Canal,20,11,2,0,19,33,52,1325483,636941,9123,0,1467863,1971548,3439411,4
2020/02/09,2020,2,9,chokepoint1,Suez Canal,11,15,3,4,15,33,48,852885,553423,5252,27010,1016426,1438570,2454997,5
2020/02/10,2020,2,10,chokepoint1,Suez Canal,16,15,9,2,12,42,54,810848,678386,33970,10529,308996,1533735,1842732,6
2020/02/11,2020,2,11,chokepoint1,Suez Canal,19,13,6,2,12,40,52,1208896,431735,33294,8747,917106,1682673,2599780,7
2020/02/12,2020,2,12,chokepoint1,Suez Canal,15,13,3,5,16,36,52,1125061,493517,17323,18091,515739,1653993,2169733,8
2020/02/13,2020,2,13,chokepoint1,Suez Canal,18,15,5,1,22,39,61,932906,723133,21919,2207,828406,1680167,2508574,9
2020/02/14,2020,2,14,chokepoint1,Suez Canal,23,15,4,1,22,43,65,1520809,435041,29131,4394,1057745,1989377,3047123,10
2020/02/15,2020,2,15,chokepoint1,Suez Canal,18,18,5,3,20,44,64,1299365,771657,6824,8048,1284022,2085896,3369918,11
2020/02/16,2020,2,16,chokepoint1,Suez Canal,15,19,5,0,23,39,62,903006,619365,7475,0,958128,1529846,2487975,12
2020/02/17,2020,2,17,chokepoint1,Suez Canal,20,12,6,2,26,40,66,1149121,347918,54399,4442,1610258,1555882,3166141,13
2020/02/18,2020,2,18,chokepoint1,Suez Canal,16,7,4,2,19,29,48,1008359,382683,32282,6019,1227154,1429344,2656499,14
2020/02/19,2020,2,19,chokepoint1,Suez Canal,10,10,9,2,18,31,49,507539,298571,39938,5540,897791,851590,1749382,15
2020/02/20,2020,2,20,chokepoint1,Suez Canal,11,16,3,2,16,32,48,612820,791613,46801,11698,849043,1462933,2311977,16
2020/02/21,2020,2,21,chokepoint1,Suez Canal,19,16,1,0,13,36,49,1251482,836577,0,0,837385,2088060,2925445,17
2020/02/22,2020,2,22,chokepoint1,Suez Canal,16,15,1,2,16,34,50,991630,586064,866,7356,714169,1585918,2300088,18
2020/02/23,2020,2,23,chokepoint1,Suez Canal,17,19,2,2,15,40,55,773625,1047420,9495,5601,759875,1836143,2596019,19
2019/01/01,2019,1,1,chokepoint1,Suez Canal,15,15,9,4,18,43,61,1018466,618654,112660,21900,1279775,1771682,3051458,20
2020/02/24,2020,2,24,chokepoint1,Suez Canal,15,15,3,2,15,35,50,793115,723789,8912,6979,533521,1532797,2066318,21
2020/02/25,2020,2,25,chokepoint1,Suez Canal,16,24,6,2,14,48,62,986248,1020597,13739,6398,829254,2026984,2856238,22
2020/02/26,2020,2,26,chokepoint1,Suez Canal,17,11,2,3,14,33,47,971623,866799,6201,16034,571962,1860659,2432622,23
2020/02/27,2020,2,27,chokepoint1,Suez Canal,17,22,9,3,13,51,64,1095608,1139568,29552,10592,845766,2275322,3121088,24
2020/02/28,2020,2,28,chokepoint1,Suez Canal,15,5,1,1,23,22,45,754770,276068,892,3319,1300063,1035051,2335114,25
